ResourceID,title,filename,thumbnail,year,source
b0b0b0b0-0000-1401-0003-000000000000,Red Pigment Canyon LN4061 F14 P1 Detail 1 ASM 2014,RPC_LN4061_F14-P1_Detail-1_ASM 2014 photo.jpg,RPC_LN4061_F14-P1_Detail-1_ASM 2014 photo_thumb.jpg,2014,ASM Associates
b0b0b0b0-0000-1401-0004-000000000000,Red Pigment Canyon LN4061 F14 P1 Detail 2 ASM 2014,RPC_LN4061_F14-P1_Detail-2_ASM 2014 photo.jpg,RPC_LN4061_F14-P1_Detail-2_ASM 2014 photo_thumb.jpg,2014,ASM Associates
b0b0b0b0-0000-1401-0005-000000000000,Red Pigment Canyon LN4061 F14 P1 Detail 3 ASM 2014,RPC_LN4061_F14-P1_Detail-3_ASM 2014 photo.jpg,RPC_LN4061_F14-P1_Detail-3_ASM 2014 photo_thumb.jpg,2014,ASM Associates
b0b0b0b0-0000-1401-0006-000000000000,Red Pigment Canyon LN4061 F14 P1 Detail 4 ASM 2014,RPC_LN4061_F14-P1_Detail-4_ASM 2014 photo.jpg,RPC_LN4061_F14-P1_Detail-4_ASM 2014 photo_thumb.jpg,2014,ASM Associates
b0b0b0b0-0000-1401-0007-000000000000,Red Pigment Canyon LN4061 F14 P1 facing N NRAF 2011,RPC_LN4061_F14-P1_facing N_NRAF 2011 photo.jpg,RPC_LN4061_F14-P1_facing N_NRAF 2011 photo_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-1401-0008-000000000000,Red Pigment Canyon LN4061 F14 P1 Lee 2002 drawing LN4232 Locus,RPC_LN4061_F14-P1_Lee 2002 drawing LN4232_Locus 57.jpg,RPC_LN4061_F14-P1_Lee 2002 drawing LN4232_Locus 57_thumb.jpg,2002,Lee et al.
b0b0b0b0-0000-1401-0009-000000000000,Red Pigment Canyon LN4061 F14 P1 overview ASM,RPC_LN4061_F14-P1_overview_ASM 2014.jpg,RPC_LN4061_F14-P1_overview_ASM 2014_thumb.jpg,2014,ASM Associates
b0b0b0b0-0000-1401-0010-000000000000,Red Pigment Canyon LN4061 F14 P1 overview facing N NRAF 2011,RPC_LN4061_F14-P1_overview_facing N_NRAF 2011 photo.jpg,RPC_LN4061_F14-P1_overview_facing N_NRAF 2011 photo_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-1421-0001-000000000000,Red Pigment Canyon LN4061 F14 P1 Panel 21 NRAF 2011,RPC_LN4061_F14-P1_Panel-21_NRAF 2011 drawing.jpg,RPC_LN4061_F14-P1_Panel-21_NRAF 2011 drawing_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-0201-0001-000000000000,Red Pigment Canyon LN4061 F2 P1 detail 1 facing SW NRAF 2011,RPC_LN4061_F2-P1_detail-1_facing SW_NRAF 2011 photo.jpg,RPC_LN4061_F2-P1_detail-1_facing SW_NRAF 2011 photo_thumb.jpg,2011,Nevada Rock Art Foundation
b0b0b0b0-0000-0201-0002-000000000000,Red Pigment Canyon LN4061 F2 P1 detail 2 facing SW NRAF 2011,RPC_LN4061_F2-P1_detail-2_facing SW_NRAF 2011 photo.jpg,RPC_LN4061_F2-P1_detail-2_facing SW_NRAF 2011 photo_thumb.jpg,2011,Nevada Rock Art Foundation
